Complexity|MSE|Equation
1|19.77963|25.953533
3|18.753239|(x2 / x8)
5|18.062113|(x2 / (x3 / x0))
7|10.711294|(x2 / ((x3 * x7) / x0))
9|10.563916|((x2 / ((x3 * x7) / x0)) - x7)
10|9.805562|((x2 / ((x3 * x7) / x0)) - exp(2.047468))
11|6.514216|((x2 / (((x3 * x7) / x0) - x7)) - x4)
12|6.103455|((x2 / (((x3 * sin(x7)) / x0) - x7)) - x4)
13|5.663431|(((x2 + 28.162392) / (((x3 * x7) / x0) - 0.2731424)) - x4)
14|5.466984|(((x2 + exp(2.6818101)) / (((x3 * x7) / x0) - 0.37289375)) - x4)
16|5.369788|((((x2 + 14.611518) / (((x3 * x7) / x0) - 0.3586756)) - sin(x2)) - x4)
17|5.0379677|((((x2 + 29.359266) / (((x3 * x7) / x0) - 0.27376983)) - exp(sin(x3))) - x4)
18|5.019936|((((x2 + 28.162392) / (((x3 * x7) / x0) - 0.2731424)) - (2.6962147 - cos(x3))) - x4)
20|4.8883395|((((x2 + 28.162392) / (((x3 * x7) / x0) - 0.2731424)) - (exp(sin(x3)) - cos(x3))) - x4)
