year,name ,WOB,ROP data,Db,RPM,UCS,NOC,BR,SR,Dc,NOB
2019,SWG,2543.8,6.2,3.75,80,28000,11,25,1,0.51,4
2019,SWG,3048.9,11.9,3.75,80,28000,11,25,1,0.51,4
2019,SWG,3538.7,19.5,3.75,80,28000,11,25,1,0.51,4
2019,SWG,4066.2,28.6,3.75,80,28000,11,25,1,0.51,4
2019,SWG,4574.9,36.6,3.75,80,28000,11,25,1,0.51,4
2019,SWG,2579.8,8.5,3.75,120,28000,11,25,1,0.51,4
2019,SWG,3051.5,14.8,3.75,120,28000,11,25,1,0.51,4
2019,SWG,3471.8,23.8,3.75,120,28000,11,25,1,0.51,4
2019,SWG,4091.9,37.1,3.75,120,28000,11,25,1,0.51,4
2019,SWG,4481,46.5,3.75,120,28000,11,25,1,0.51,4
2019,SWG,2599.3,9.1,3.75,160,28000,11,25,1,0.51,4
2019,SWG,3051.3,15,3.75,160,28000,11,25,1,0.51,4
2019,SWG,3602.5,28.5,3.75,160,28000,11,25,1,0.51,4
2019,SWG,4049.4,42,3.75,160,28000,11,25,1,0.51,4
2019,SWG,4442.1,53.8,3.75,160,28000,11,25,1,0.51,4
2019,SWG,2037.451827,2.594125972,3.75,80,28000,16,25,1,0.51,5
2019,SWG,2586.174159,4.772693461,3.75,80,28000,16,25,1,0.51,5
2019,SWG,3042.903915,7.494664192,3.75,80,28000,16,25,1,0.51,5
2019,SWG,3479.580708,10.80733276,3.75,80,28000,16,25,1,0.51,5
2019,SWG,4044.910856,16.71288706,3.75,80,28000,16,25,1,0.51,5
2019,SWG,4478.55879,21.62587067,3.75,80,28000,16,25,1,0.51,5
2019,SWG,1552.375247,1.646927425,3.75,120,28000,16,25,1,0.51,5
2019,SWG,2011.609117,2.999979258,3.75,120,28000,16,25,1,0.51,5
2019,SWG,2520.565863,5.889079882,3.75,120,28000,16,25,1,0.51,5
2019,SWG,2814.273368,7.826429255,3.75,120,28000,16,25,1,0.51,5
2019,SWG,3024.199384,9.58501339,3.75,120,28000,16,25,1,0.51,5
2019,SWG,3474.817243,17.39531457,3.75,120,28000,16,25,1,0.51,5
2019,SWG,4040.722565,22.01535152,3.75,120,28000,16,25,1,0.51,5
2019,SWG,4510.900207,30.55711474,3.75,120,28000,16,25,1,0.51,5
2019,SWG,5088.248694,41.72139849,3.75,120,28000,16,25,1,0.51,5
2019,SWG,2023.679472,3.675012589,3.75,160,28000,16,25,1,0.51,5
2019,SWG,2496.325915,6.439309461,3.75,160,28000,16,25,1,0.51,5
2019,SWG,3052.556437,11.57501539,3.75,160,28000,16,25,1,0.51,5
2019,SWG,3482.499629,16.62853786,3.75,160,28000,16,25,1,0.51,5
2019,SWG,4048.652032,26.35002136,3.75,160,28000,16,25,1,0.51,5
2019,SWG,4517.780452,37.81247139,3.75,160,28000,16,25,1,0.51,5
2019,SWG,4990.3582,48.45001801,3.75,160,28000,16,25,1,0.51,5
